පාඨශාලාව,පාසල
ප්‍රකාශ කළා,කිව්වා
සමස්ත,සියලු
මූල්‍ය, මුදල්
ව්‍යුහය, හැඩය
පුනරාවර්තන, නැවත නැවත සිදුවන
ශුද්ධ, මුළු
නිශ්කාෂණය,  නිකුත් කරන
පර්යේෂණ, පරීක්ෂණ
ව්‍යාපෘති,    වැඩ කටයුතු
නිරීක්ෂණය කරන, දකින
දැනුවත් කරන ,කියන
අමාත්‍ය , ඇමති
මාර්ගෝපදේශ, උපදෙස්
අනිටු , අයහපත්
විනෝදාස්වාදය, විනෝදය
ඉෂ්ට, ඉටු
සාමුහික,එකමුතු
සමන්විත, සහිත
ප්‍රචලිත, ප්‍රසිද්ධ
කාර්යභාරය, වැඩ
සංරක්ෂණය,  ආරක්ෂා කිරීම
ඒකරාශී, එකතු
කාල පරිච්ඡේදයක්,කාලයක්
උ‍දෙසා,වෙනුවෙන්
අනේකවිධ, විවිධ
රැකවරණ, ආරක්ෂා
අවශේෂ, ඉතිරි
ප්‍රණාමය - 
ප්‍රවේශයක්,  පටන් ගැනීමක්
ආශ්චර්ය, පුදුමය
දූරදර්ශී,   දුරදිග බලන
සම්පාදනය, හදන
සක්‍රිය - 
විශ්වසනීයත්වය,  විශ්වාසවන්ත බව
ආයතනයීය,   ආයතනයේ
පිළිබිඹු, පෙන්වන
ස්ථාවරත්වයක්, ස්ථිර බව
විචල්‍යතා ,වෙනස්වන
අනකූලව, අනුව
ක්‍රියාකාරකම්,  වැඩ
ප්‍රජා - 
දෙදින,  දවස් දෙක
සුභසාධනය - 
මධ්‍යයේ, මැද
විවිධ,එක එක
දුෂ්කරතා, අපහසුකම්
වුව ද,වුණත්
සදාදරණීය,  ආදරණිය
පෙරදැරිව,  ඉදිරියට ගෙන
ස්වෛරීභාවය - 
අභියෝගය - 
ත්‍රෛභාෂා, භාෂා තුනෙහි 
හෘදයාංගමව, හදවතින්
ක්‍රියාවලිය, ක්‍රියාව
අධීක්ෂණ - 
උවදුරු, කරදර
සංහිඳියාව, එකමුතුකම
ඒකාබද්ධතාවය, එකමුතුකම
ඇදහැළෙන, කඩාවැටෙන
කාර්යක්ෂමව, හොඳින්
අභ්‍යන්තර,ඇතුළත
ශක්‍යතාව,හැකියාව
දීර්ඝ, දිග
ආරක, විදිහක
සමික්ෂණයට, ගණන් කිරීම
මූලික, ප්‍රධාන
අවශ්‍ය,උවමනා
සම්පාදනය,  සකස්
පැවැත්විණ, තිබුණා
පර්යේෂකයින්, පරීක්ෂණ කරන අය
වාර්ෂික, අවුරුදු
ප්‍රදානෝත්සවය, දෙන උත්සවය
පරිපූරක, අමතර
විවිධාකාර,  වෙනස් ආකාරයේ
ප්‍රවීණතා, හැකියා
සවිස්තරාත්මක, විස්තර ඇති
ප්‍රතීතක - 
අනුයුක්ත, අදාල
අවස්ථාවේදී, තැනේ දී
හුදෙක්ම,තනිකර
